id,Data,Produto,Categoria,Quantidade,Preço
1804240537,2023-01-01,Corn,Grains,21354,0.49
1804240538,2023-01-01,Peaches,Fruits,16925,3.26
1804240539,2023-01-01,Apples,Fruits,14154,3.08
1804240540,2023-01-01,Apples,Fruits,1244,2.9
1804240541,2023-01-01,Lamb,Livestock,8500,10.54
1804240542,2023-01-01,Lamb,Livestock,11265,14.23
1804240543,2023-01-01,Pork,Livestock,23868,7.36
1804240544,2023-01-01,Carrots,Vegetables,3660,1.18
1804240545,2023-01-01,Blueberries,Fruits,25531,5.17
1804240546,2023-01-01,Rye,Grains,12873,0.74
1804240547,2023-01-02,Onions,Vegetables,27674,1.07
1804240548,2023-01-02,Beef,Livestock,32872,10.43
1804240549,2023-01-02,Tomatoes,Vegetables,355,2.54
1804240550,2023-01-02,Barley,Grains,608,0.75
1804240551,2023-01-02,Lettuce,Vegetables,23834,0.9
1804240552,2023-01-02,Grapes,Fruits,8352,4.46
1804240553,2023-01-02,Oats,Grains,18225,0.68
1804240554,2023-01-02,Butter,Dairy,1760,4.85
1804240555,2023-01-02,Corn,Grains,12140,0.62
1804240556,2023-01-02,Rye,Grains,1762,0.79
1804240557,2023-01-03,Peaches,Fruits,1671,3.22
1804240558,2023-01-03,Beef,Livestock,1698,11.24
1804240559,2023-01-03,Milk,Dairy,34493,1.12
1804240560,2023-01-03,Oranges,Fruits,9036,2.79
1804240561,2023-01-03,Lettuce,Vegetables,10224,0.85
1804240562,2023-01-03,Strawberries,Fruits,4891,5.78
1804240563,2023-01-03,Rice,Grains,1170,1.06
1804240564,2023-01-03,Barley,Grains,18307,0.63
1804240565,2023-01-03,Corn,Grains,527,0.68
1804240566,2023-01-04,Pork,Livestock,21297,7.52
1804240567,2023-01-04,Lettuce,Vegetables,22795,0.94
1804240568,2023-01-04,Potatoes,Vegetables,11304,0.8
1804240569,2023-01-04,Oranges,Fruits,2922,3.18
1804240570,2023-01-04,Beef,Livestock,35425,10.72
1804240571,2023-01-04,Oranges,Fruits,22179,2.64
1804240572,2023-01-04,Butter,Dairy,6359,4.16
1804240573,2023-01-04,Lamb,Livestock,27985,10.06
1804240574,2023-01-04,Blueberries,Fruits,11502,6.88
1804240575,2023-01-04,Blueberries,Fruits,2328,5.5
1804240576,2023-01-04,Peaches,Fruits,13944,3.41
1804240577,2023-01-05,Yogurt,Dairy,22818,2.92
1804240578,2023-01-05,Oats,Grains,24001,0.75
1804240579,2023-01-05,Tomatoes,Vegetables,3503,2.08
1804240580,2023-01-05,Milk,Dairy,7218,1.05
1804240581,2023-01-05,Blueberries,Fruits,5902,5.97
1804240582,2023-01-05,Oats,Grains,10840,0.81
1804240583,2023-01-05,Corn,Grains,46228,0.6
1804240584,2023-01-05,Wheat,Grains,6510,0.49
1804240585,2023-01-05,Yogurt,Dairy,38912,2.97
1804240586,2023-01-05,Cabbage,Vegetables,15524,0.72
1804240587,2023-01-05,Oats,Grains,1088,0.91
1804240588,2023-01-05,Oats,Grains,7838,0.82
1804240589,2023-01-05,Lettuce,Vegetables,4866,0.89
1804240590,2023-01-05,Tomatoes,Vegetables,19165,2.63
1804240591,2023-01-05,Peaches,Fruits,31148,3.99
1804240592,2023-01-06,Lamb,Livestock,3232,13.81
1804240593,2023-01-06,Peppers,Vegetables,4228,1.61
1804240594,2023-01-06,Cheese,Dairy,31722,8.18
1804240595,2023-01-06,Carrots,Vegetables,28946,1.3
1804240596,2023-01-06,Pork,Livestock,22261,7.75
1804240597,2023-01-06,Butter,Dairy,14172,4.28
1804240598,2023-01-06,Onions,Vegetables,12613,1.06
1804240599,2023-01-06,Corn,Grains,12680,0.65
1804240600,2023-01-06,Lamb,Livestock,3746,13.13
1804240601,2023-01-06,Cabbage,Vegetables,12316,0.75
1804240602,2023-01-07,Strawberries,Fruits,319,4.98
